area_sqft,bedrooms,zone,price
650,1,urban,129000
720,1,suburban,122500
780,2,urban,151000
840,2,rural,128000
900,2,suburban,149500
960,2,urban,174000
1020,3,rural,151000
1080,3,suburban,172500
1140,3,urban,198000
1200,3,rural,175000
1260,3,suburban,195500
1320,3,urban,222000
1380,4,rural,198000
1440,4,suburban,219500
1500,4,urban,246000
1560,4,rural,221000
1620,4,suburban,242500
1680,4,urban,269000
1740,5,rural,244000
1800,5,suburban,265500
1860,5,urban,292000
1920,5,rural,267000
1980,5,suburban,288500
2040,5,urban,315000
2100,6,rural,290000
2160,6,suburban,311500
2220,6,urban,338000
2280,6,rural,313000
2340,6,suburban,334500
2400,6,urban,361000
